date, pm25, pm10, o3, no2, so2, co
2024/6/24, 222, 90, 30, 13, 6, 5
2024/6/25, 182, 87, 20, 12, 6, 4
2024/6/26, 150, 52, 7, 14, 7, 4
2024/6/27, 113, 47, 12, 13, 7, 4
2024/6/28, 126, 85, 14, 17, 7, 4
2024/6/29, 154, 82, 20, 14, 7, 3
2024/6/30, 146, 75, 26, 16, 7, 4
2024/1/1, 178, 158, 6, 41, 5, 2
2024/1/2, 175, 138, 10, 39, 5, 3
2024/1/3, 169, 230, 6, 41, 6, 4
2024/1/4, 204, 171, 6, 37, 6, 3
2024/1/5, 181, 199, 6, 39, 6, 3
2024/1/6, 195, 154, 8, 38, 6, 2
2024/1/7, 179, 444, 13, 49, 6, 6
2024/1/8, 396, 193, 5, 40, 6, 3
2024/1/9, 190, 114, 7, 46, 6, 1
2024/1/10, 159, 180, 3, 37, 6, 3
2024/1/11, 191, 188, 3, 46, 6, 3
2024/1/12, 190, 324, 19, 47, 6, 8
2024/1/13, 254, 551, 9, 53, 5, 17
2024/1/14, 347, 228, 3, 53, 5, 2
2024/1/15, 188, 166, 3, 41, 4, 4
2024/1/16, 189, 168, 3, 38, 5, 3
2024/1/17, 183, 129, 3, 37, 6, 2
2024/1/18, 166, 120, 2, 34, 5, 3
2024/1/19, 164, 167, 2, 33, 3, 4
2024/1/20, 179, 191, 2, 49, 5, 4
2024/1/21, 194, 230, 2, 37, 6, 3
2024/1/22, 207, 205, 2, 37, 5, 3
2024/1/23, 195, 233, 3, 46, 6, 3
2024/1/24, 206, 303, 3, 45, 6, 5
2024/1/25, 299, 369, 3, 39, 5, 9
2024/1/26, 260, 229, 2, 47, 5, 7
2024/1/27, 206, 270, 3, 46, 6, 7
2024/1/28, 215, 217, 3, 40, 6, 5
2024/1/29, 192, 229, 3, 39, 5, 4
2024/1/30, 202, 304, 3, 34, 6, 4
2024/1/31, 274, 48, 10, 17, 6, 1
2024/2/1, 134, 95, 13, 30, 6, 2
2024/2/2, 137, 551, 3, 48, 6, 19
2024/2/3, 261, 112, 5, 20, 5, 2
2024/2/4, 144, 88, 10, 15, 5, 1
2024/2/5, 116, 207, 13, 19, 6, 1
2024/2/6, 234, 89, 12, 18, 6, 
2024/2/7, 272, 84, 14, 23, 5, 2
2024/2/8, 104, 133, 18, 38, 5, 10
2024/2/9, 121, 241, 12, 51, 5, 15
2024/2/10, 195, 184, 12, 46, 5, 6
2024/2/11, 185, 105, 11, 40, 8, 4
2024/2/12, 149, 258, 12, 52, 4, 19
2024/2/13, 205, 180, 8, 58, 4, 10
2024/2/14, 172, 132, 10, 49, 5, 7
2024/2/15, 153, 143, 7, 22, 5, 9
2024/2/16, 147, 202, 9, 25, 5, 14
2024/2/17, 175, 133, 4, 21, 4, 5
2024/2/18, 143, 123, 10, 16, 4, 5
2024/2/19, 140, 126, 21, 14, 6, 13
2024/2/20, 164, 121, 21, 17, 5, 7
2024/2/21, 143, 114, 19, 22, 6, 6
2024/2/22, 130, 108, 14, 22, 5, 5
2024/2/23, 138, 120, 7, 28, 6, 9
2024/2/24, 151, 93, 15, 21, 6, 6
2024/2/25, 117, 94, 13, 22, 6, 6
2024/2/26, 120, 79, 26, 17, 6, 5
2024/2/27, 98, 73, 23, 11, 6, 4
2024/2/28, 63, 85, 24, 18, 6, 6
2024/2/29, 89, 138, 22, 29, 6, 7
2024/3/1, 149, 50, 19, 10, 6, 4
2024/3/2, 46, 76, 19, 11, 5, 5
2024/3/3, 85, 70, 31, 12, 6, 4
2024/3/4, 75, 79, 28, 13, 6, 4
2024/3/5, 90, 77, 27, 14, 5, 5
2024/3/6, 95, 114, 27, 20, 5, 6
2024/3/7, 132, 84, 19, 18, 5, 5
2024/3/8, 96, 81, 20, 19, 5, 6
2024/3/9, 96, 100, 11, 23, 5, 6
2024/3/10, 119, 130, 5, 26, 7, 9
2024/3/11, 159, 116, 17, 23, 6, 7
2024/3/12, 141, 87, 14, 36, 4, 6
2024/3/13, 94, 134, 20, 30, 3, 11
2024/3/14, 161, , , , , 
2024/3/16, 213, 102, 23, 25, 5, 6
2024/3/17, 250, 98, 22, 24, 5, 5
2024/3/18, 192, 136, 14, 29, 5, 8
2024/3/19, 140, 292, 11, 31, 6, 8
2024/3/20, 276, 105, 8, 36, 2, 7
2024/3/21, 112, 108, 11, 27, 2, 9
2024/3/22, 108, 180, 7, 21, 2, 14
2024/3/23, 156, 136, 4, 22, 2, 8
2024/3/24, 127, 197, 6, 20, 2, 13
2024/3/25, 169, 94, 11, 20, 2, 3
2024/3/26, 106, 103, 18, 17, 3, 4
2024/3/27, 114, 105, 18, 17, 4, 4
2024/3/28, 112, 101, 4, 16, 3, 2
2024/3/29, 127, 150, 5, 19, 2, 13
2024/3/30, 139, 129, 8, 16, 2, 6
2024/3/31, 256, 75, 7, 17, 2, 1
2023/10/1, 100, 104, 75, 23, 4, 4
2023/10/2, 104, 102, 33, 25, 3, 3
2023/10/3, 95, 112, 32, 24, 3, 4
2023/10/4, 110, 112, 30, 27, 3, 5
2023/10/5, 110, 123, 31, 30, 8, 7
2023/10/6, 123, 119, 32, 28, 4, 7
2023/10/7, 118, 98, 19, 26, 3, 6
2023/10/8, 95, 99, 61, 25, 4, 6
2023/10/9, 96, 108, 18, 27, 3, 5
2023/10/10, 106, 99, 20, 25, 3, 4
2023/10/11, 109, 111, 32, 27, 8, 5
2023/10/12, 129, 132, 53, 33, 4, 5
2023/10/13, 143, 122, 46, 29, 3, 7
2023/10/14, 130, 111, 75, 28, 2, 7
2023/10/15, 110, 94, 17, 23, 3, 6
2023/10/16, 84, 56, 26, 24, 4, 4
2023/10/17, 60, 84, 35, 24, 6, 2
2023/10/18, 92, 85, 32, 24, 4, 3
2023/10/19, 93, 100, 36, 28, 4, 3
2023/10/20, 126, 125, 70, 34, 4, 5
2023/10/21, 147, 135, 55, 33, 3, 3
2023/10/22, 156, 113, 20, 29, 4, 4
2023/10/23, 131, 105, 48, 29, 4, 4
2023/10/24, 125, 122, 37, 32, 5, 4
2023/10/25, 139, 110, 22, 32, 4, 4
2023/10/26, 128, 156, 35, 42, 4, 12
2023/10/27, 146, 176, 52, 45, 3, 11
2023/10/28, 158, 183, 26, 42, 4, 6
2023/10/29, 166, 175, 29, 42, 4, 3
2023/10/30, 159, 170, 20, 38, 3, 5
2023/10/31, 170, 155, 91, 39, 4, 5
2023/11/1, 160, 277, 61, 39, 6, 9
2023/11/2, 196, 277, 83, 41, 4, 19
2023/11/3, 193, 303, 78, 44, 4, 31
2023/11/4, 203, 304, 80, 44, 3, 36
2023/11/5, 215, 218, 49, 49, 6, 23
2023/11/6, 194, 225, 91, 51, 4, 7
2023/11/7, 187, 214, 80, 49, 4, 5
2023/11/8, 193, 250, 53, 51, 3, 6
2023/11/9, 201, 157, 36, 29, 5, 2
2023/11/10, 118, 156, 49, 29, 10, 3
2023/11/11, 154, , , , , 
2023/11/19, 250, 340, 197, 47, 6, 5
2023/11/20, 263, , , , , 
2023/11/22, 203, 382, 16, 71, 5, 6
2023/11/23, 289, 730, 9, 64, 4, 13
2023/11/24, 407, 345, 30, 78, 7, 28
2023/11/25, 238, 204, 26, 66, 4, 11
2023/11/26, 204, 118, 12, 40, 6, 3
2023/11/27, 163, 98, 98, 44, 5, 3
2023/11/28, 144, 130, 113, 45, 5, 7
2023/11/29, 213, 175, 106, 47, 5, 12
2023/11/30, 197, 147, 129, 41, 5, 5
2023/12/1, 187, 125, 35, 45, 6, 8
2023/12/2, 164, 454, 97, 47, 5, 8
2023/12/3, 159, 396, 184, 52, 5, 6
2023/12/4, 167, 103, 48, 42, 6, 3
2023/12/5, 152, , , , , 
2023/12/7, 197, 115, 7, 57, 5, 4
2023/12/8, 153, 130, 11, 60, 5, 5
2023/12/9, 168, 109, 8, 57, 5, 3
2023/12/10, 198, 144, 2, 66, 5, 8
2023/12/11, 194, 199, , 73, 4, 10
2023/12/12, 226, , , , , 
2023/12/14, 161, 288, 21, 71, 5, 10
2023/12/15, 218, 262, 30, 72, 5, 8
2023/12/16, 206, 206, 5, 65, 5, 6
2023/12/17, 188, 154, 4, 56, 5, 3
2023/12/18, 174, 122, 4, 55, 6, 2
2023/12/19, 151, 142, 4, 58, 5, 3
2023/12/20, 166, 351, 10, 73, 5, 8
2023/12/21, 229, 364, 6, 72, 5, 11
2023/12/22, 249, 360, 5, 73, 5, 10
2023/12/23, 243, 351, 9, 72, 4, 12
2023/12/24, 249, 335, 4, 56, 5, 3
2023/12/25, 181, 309, 6, 59, 5, 5
2023/12/26, 202, 362, 10, 53, 5, 6
2023/12/27, 250, 167, 3, 32, 5, 3
2023/12/28, 183, 200, 7, 33, 5, 3
2023/12/29, 200, 169, 10, 45, 6, 3
2023/12/30, 185, 160, 5, 47, 5, 2
2023/12/31, 181, 160, 6, 40, 5, 2
2023/7/1, 22, 38, 14, 7, 3, 14
2023/7/2, 36, 66, 17, 10, 3, 16
2023/7/3, 70, 68, 9, 11, 3, 15
2023/7/4, 66, 50, 10, 6, 3, 15
2023/7/5, 51, 31, 4, 8, 3, 14
2023/7/6, 49, 43, 4, 8, 3, 10
2023/7/7, 41, 31, 12, 10, 3, 10
2023/7/8, 42, 18, 8, 7, 3, 5
2023/7/9, 30, 32, 7, 9, 3, 6
2023/7/10, 40, 43, 19, 8, 3, 6
